,x,y,w,h,score,match
18,92,1821,53,48,0.872729,top_left.jpg
84,110,1770,49,43,0.88006896,small_round.jpg
86,143,1689,64,44,0.8015395,left_angled.jpg
14,156,1649,68,44,0.9005579,left_back_bent.jpg
35,163,1909,36,35,0.83516204,round_light.jpg
13,182,1573,68,44,0.9016135,left_back_bent.jpg
11,225,1466,68,44,0.8937207,left_back_bent.jpg
51,272,1349,38,60,0.8706731,middle round.jpg
34,284,1903,36,35,0.7951384,round_light.jpg
8,298,1302,68,44,0.8978394,left_back_bent.jpg
59,323,1209,48,40,0.82004744,03_18_2023 LG 282 copy.jpg
9,346,1386,68,44,0.77355474,left_back_bent.jpg
3,354,1175,68,44,0.8225858,left_back_bent.jpg
58,381,1080,48,40,0.8131134,03_18_2023 LG 282 copy.jpg
57,428,991,48,40,0.8348298,03_18_2023 LG 282 copy.jpg
6,433,1229,68,44,0.7650409,left_back_bent.jpg
7,439,1288,68,44,0.7918107,left_back_bent.jpg
5,444,1188,68,44,0.81357926,left_back_bent.jpg
56,467,886,48,40,0.8138123,03_18_2023 LG 282 copy.jpg
77,499,837,49,43,0.8310634,small_round.jpg
75,524,784,49,43,0.86293703,small_round.jpg
74,542,742,49,43,0.8451705,small_round.jpg
27,560,1000,36,35,0.80469,round_light.jpg
73,566,693,49,43,0.7839351,small_round.jpg
49,612,601,38,60,0.8315354,middle round.jpg
48,668,505,38,60,0.80613357,middle round.jpg
55,691,468,48,40,0.83639747,03_18_2023 LG 282 copy.jpg
32,706,1893,36,35,0.7539733,round_light.jpg
85,751,389,64,44,0.7859676,left_angled.jpg
30,808,1854,36,35,0.77207184,round_light.jpg
0,814,391,68,44,0.7695587,left_back_bent.jpg
45,862,268,38,60,0.9082344,middle round.jpg
69,906,223,49,43,0.76987207,small_round.jpg
23,1002,214,36,35,0.77049243,round_light.jpg
54,1018,1867,38,60,0.75397694,middle round.jpg
40,1041,139,38,60,0.86869234,middle round.jpg
22,1067,194,36,35,0.8038059,round_light.jpg
39,1091,126,38,60,0.79819983,middle round.jpg
38,1141,116,38,60,0.86923,middle round.jpg
20,1165,180,36,35,0.79574025,round_light.jpg
43,1212,169,38,60,0.7947744,middle round.jpg
36,1236,109,38,60,0.9434607,middle round.jpg
21,1259,183,36,35,0.818623,round_light.jpg
37,1280,113,38,60,0.90172046,middle round.jpg
53,1335,1862,38,60,0.7961587,middle round.jpg
41,1383,145,38,60,0.88670796,middle round.jpg
17,1427,1870,68,44,0.76198137,left_back_bent.jpg
42,1442,158,38,60,0.9186681,middle round.jpg
68,1480,202,49,43,0.87667936,small_round.jpg
44,1539,241,38,60,0.7927857,middle round.jpg
87,1608,311,38,64,0.8052339,12_20_2022 LG 282 copy.jpg
47,1646,354,38,60,0.8571679,middle round.jpg
88,1680,393,38,64,0.84253114,12_20_2022 LG 282 copy.jpg
70,1713,435,49,43,0.85217494,small_round.jpg
71,1743,479,49,43,0.8771057,small_round.jpg
50,1753,724,38,60,0.7996093,middle round.jpg
24,1764,270,36,35,0.83197165,round_light.jpg
89,1777,522,38,64,0.82743573,12_20_2022 LG 282 copy.jpg
33,1797,1894,36,35,0.7718878,round_light.jpg
46,1805,316,38,60,0.8810352,middle round.jpg
1,1827,576,68,44,0.7911855,left_back_bent.jpg
72,1851,643,49,43,0.8410641,small_round.jpg
90,1880,688,38,64,0.8406253,12_20_2022 LG 282 copy.jpg
2,1909,579,68,44,0.88321435,left_back_bent.jpg
76,1942,808,49,43,0.81680197,small_round.jpg
16,1943,1867,68,44,0.80921006,left_back_bent.jpg
25,1970,859,36,35,0.89954555,round_light.jpg
19,1989,892,46,53,0.83354855,right_small_weird.jpg
78,2012,937,49,43,0.7974424,small_round.jpg
26,2044,982,36,35,0.8626381,round_light.jpg
79,2055,1012,49,43,0.84905493,small_round.jpg
80,2092,1083,49,43,0.84108967,small_round.jpg
91,2111,1121,38,64,0.76513803,12_20_2022 LG 282 copy.jpg
81,2153,1195,49,43,0.81099796,small_round.jpg
82,2187,1270,49,43,0.8249599,small_round.jpg
60,2218,1344,48,40,0.80415505,03_18_2023 LG 282 copy.jpg
28,2218,1124,36,35,0.7827671,round_light.jpg
4,2251,1187,68,44,0.8668237,left_back_bent.jpg
61,2268,1451,48,40,0.795487,03_18_2023 LG 282 copy.jpg
62,2285,1487,48,40,0.7945152,03_18_2023 LG 282 copy.jpg
83,2304,1523,49,43,0.7816625,small_round.jpg
63,2333,1599,48,40,0.81734073,03_18_2023 LG 282 copy.jpg
64,2346,1635,48,40,0.7558701,03_18_2023 LG 282 copy.jpg
66,2369,1678,48,40,0.8033255,03_18_2023 LG 282 copy.jpg
67,2387,1716,48,40,0.77083004,03_18_2023 LG 282 copy.jpg
10,2398,1440,68,44,0.76431566,left_back_bent.jpg
52,2406,1834,38,60,0.82161486,middle round.jpg
12,2432,1510,68,44,0.8305033,left_back_bent.jpg
65,2447,1674,48,40,0.75887156,03_18_2023 LG 282 copy.jpg
15,2524,1715,68,44,0.7720643,left_back_bent.jpg
31,2530,1854,36,35,0.86872643,round_light.jpg
29,2554,1824,36,35,0.84291935,round_light.jpg
