,x,y,gradient,smoothness,gradient_even,smoothness_even
0,176.0,1581.5,1.9894736842105263,-0.07544245228455776,94.5,-3.5835164835164934
1,223.5,1676.0,-1.5940427993059672,-0.017786554439737416,21.75,-1.7615261855798836
2,241.0,1625.0,-1.533578686949241,0.014205938881031067,38.0,1.1914249944242243
3,292.0,1752.0,0.7888071895424815,,44.0,
13,426.0,1489.0,4.112554112554125,-0.22366948673408787,-44.0,5.621884549274263
16,461.0,1691.0,4.111986863710985,-3.930614722338856,-284.5,-19.843653467791377
18,498.0,1259.0,-0.5645118574696042,0.4506281517816242,53.5,11.921919233557158
19,511.0,1188.0,1.3616597366597354,-1.14945997014659,132.0,-41.57786311888425
24,558.0,1478.0,-4.404654654654678,-35.49559174559174,250.0,-130.54660429660427
37,677.0,1286.0,1.154411764705877,-15.638987665241538,-175.0,-98.95840397562534
63,1056.0,308.0,-3.260216066829973,0.18249382152636304,-29.5,17.808246359047295
64,1085.0,145.0,-3.572240042769313,0.023038644426313627,-93.0,1.4167787270624244
65,1128.0,122.0,-0.4266586127051243,0.043157704199760685,-19.5,1.6874224226870578
66,1184.0,106.0,-0.19739519739519729,0.002884829397948061,-11.0,0.16044469096794672
67,1236.0,100.0,-0.10576923076923084,0.0018055751228828146,-5.5,0.09388990638990635
68,1288.0,95.0,-0.009615384615384581,0.0022053747534516764,-0.5,0.11467948717948717
69,1340.0,99.0,0.1235897435897435,0.002123803556649884,6.0,0.10787415292564019
70,1388.0,107.0,0.2061329212358958,0.0023863242581756584,31.25,0.41337981158241144
71,1549.0,161.5,0.9503493667545664,0.0031399337588872284,45.0,0.4189032363517493
72,1582.0,197.0,1.0439393939393944,0.003991700952489722,78.25,0.6153361104353974
73,1714.0,318.0,2.181021587625361,-0.000340703058742238,131.75,0.4642303122105337
74,1767.0,460.5,1.9724000183604617,-0.005962005630458008,103.0,-0.579989619220264
75,1865.0,524.0,1.021042349184833,-0.007129531680021753,506.5,0.08857465844719126
76,2248.0,1473.5,2.1495493352548443,0.0005659711140008454,698.75,0.46551368379538305
77,2477.5,1921.5,1.9520697167755992,-0.0008604776404324406,448.0,-0.1974796184792451
